Cluster,MonetaryValue,Frequency,Recency
2,2317.43,9,15
2,1843.0,3,1
0,3213.7200000000003,15,8
2,1387.79,4,5
3,828.8100000000001,2,9
1,162.45,1,638
0,4757.16,11,0
1,521.89,4,305
1,539.49,2,399
1,150.95,1,483
1,1322.07,4,413
1,211.99,1,378
3,266.39,2,6
0,3601.59,12,7
1,132.24,1,436
3,771.91,1,88
3,160.18,1,9
2,4306.92,3,357
3,135.95,1,111
1,122.45,1,602
2,1523.91,10,6
1,1161.2,4,413
1,385.55,1,413
3,408.95,2,197
2,2100.09,6,436
0,3156.38,8,211
3,517.63,4,155
2,2502.82,5,384
1,517.7,1,728
3,372.21999999999997,2,29
2,2744.81,8,242
1,490.08000000000004,1,597
3,97.5,1,18
3,1239.38,2,0
0,2729.84,10,428
2,1312.21,5,73
1,535.32,1,291
2,955.5,7,30
3,764.82,3,22
1,93.35000000000001,1,724
2,1259.6299999999999,8,22
3,974.4200000000001,3,3
3,211.32,1,84
1,355.5,1,375
2,2110.91,8,21
1,920.08,3,492
3,455.88,3,195
3,1032.5,4,106
1,414.13,3,317
3,149.05,3,105
3,999.68,4,173
3,81.57,1,55
1,175.25,1,579
1,612.13,3,322
1,234.0,1,672
1,330.12,2,373
1,101.10000000000001,1,371
0,2972.83,11,8
3,789.89,3,72
3,204.0,1,6
2,1229.95,6,378
1,618.96,2,562
1,50.3,1,429
3,1251.03,3,63
1,555.87,2,470
1,323.39,1,731
2,1733.08,9,0
3,661.3199999999999,2,22
2,1927.3,5,30
3,1227.22,2,10
2,3419.27,5,406
0,2843.55,9,51
1,220.55,2,356
3,922.68,3,54
3,1364.2,3,73
1,307.1,1,684
0,3914.9500000000003,12,137
3,908.46,3,79
1,1010.73,4,583
3,676.99,2,8
1,799.13,4,450
1,1556.54,3,597
3,516.42,1,272
0,4853.9,11,290
3,808.92,3,98
3,949.25,3,30
0,4084.21,9,13
2,1408.24,4,63
1,155.8,2,578
2,3167.68,7,211
1,127.65,1,621
2,2321.11,4,77
1,209.48,1,550
1,722.09,3,529
3,271.40000000000003,3,24
0,2303.17,10,249
3,307.53,1,253
3,248.61,1,71
3,346.98,1,190
1,188.4,1,480
2,1680.74,6,12
1,1260.91,5,372
3,470.8,2,23
3,508.51,3,81
3,344.0,2,9
3,751.7,4,191
1,129.22,1,611
3,177.15,1,266
1,418.08,2,410
1,1378.74,4,510
3,919.61,1,129
1,135.4,1,457
0,3064.67,11,0
3,419.18,6,3
3,280.73,4,178
3,395.43,3,3
1,122.39999999999999,1,491
2,2433.28,8,157
1,439.33000000000004,1,382
1,313.64,1,725
1,236.11,1,416
3,1108.8,2,27
0,2140.28,12,70
0,2433.1200000000003,13,20
3,74.39999999999999,1,70
1,419.70000000000005,1,393
3,207.35999999999999,1,98
3,695.4,4,233
3,709.64,3,39
2,1709.1,9,2
1,72.0,1,435
3,603.46,2,132
1,1098.52,2,372
3,1134.03,3,59
0,2957.4700000000003,12,30
1,321.88000000000005,1,718
1,20.6,1,540
1,234.38,1,730
3,501.14,1,137
0,2415.41,9,19
1,134.9,1,668
3,30.599999999999998,1,238
3,283.73,1,268
3,922.39,2,93
1,506.75,2,472
0,4782.45,4,89
1,158.57,1,523
0,3998.25,13,4
3,259.17,1,77
1,263.5,1,630
1,233.25,2,451
3,64.0,1,93
0,3313.77,7,22
3,77.3,1,261
3,200.45000000000002,3,273
2,2475.23,6,85
2,3371.45,2,196
2,1467.24,7,21
2,1215.68,5,107
3,307.09,1,18
1,405.1,1,584
1,135.35,2,332
2,1423.52,7,39
3,228.91,1,25
3,712.8000000000001,4,9
2,1676.06,4,13
1,449.96999999999997,3,483
2,2570.2400000000002,3,295
2,2146.38,7,416
3,486.22,1,5
1,1624.84,3,398
2,1750.18,6,32
1,1586.54,3,384
2,1508.18,5,94
2,1437.85,4,8
3,91.8,1,21
1,478.88,2,312
1,17.65,1,609
1,372.2,2,568
3,1451.16,3,45
3,884.18,2,282
2,1113.15,5,18
2,1875.31,5,35
3,840.08,3,63
3,116.00999999999999,1,26
3,468.41,3,21
1,69.6,1,399
0,2629.35,11,3
1,831.45,2,581
3,492.84,1,45
3,512.2,2,64
1,572.3100000000001,1,618
1,86.10000000000001,1,606
1,359.69,1,380
3,121.18,1,44
2,1700.29,10,14
3,71.4,1,267
3,1575.89,3,39
1,348.01,4,336
3,114.60000000000001,1,10
3,260.68,2,18
1,570.66,3,543
1,159.21,1,657
2,2558.58,6,94
3,117.88,1,60
3,472.78,2,135
1,172.38,1,413
2,3068.84,7,10
1,373.01000000000005,1,609
0,4974.2300000000005,8,9
3,870.09,4,18
1,1240.6100000000001,4,501
2,1580.3,7,393
0,2648.25,10,9
1,966.6600000000001,1,730
1,2803.2,1,442
3,535.86,4,14
2,1964.02,8,58
3,353.48,1,93
0,2729.32,10,9
3,788.08,3,19
0,3851.52,11,56
2,3264.23,7,417
1,81.6,1,401
3,333.74,1,267
3,666.48,4,121
3,62.63999999999999,1,126
1,76.23,1,617
2,1336.0900000000001,5,77
3,844.86,2,239
1,88.5,1,576
2,969.1200000000001,6,199
2,2152.95,2,59
3,312.46,2,272
3,257.7,1,201
3,358.0,1,80
3,160.95,1,225
2,1357.0,7,12
3,1176.46,4,73
1,356.95,2,672
3,1031.07,1,211
3,744.85,2,24
1,643.0,1,387
2,1006.63,6,16
2,1594.69,5,261
2,1718.1200000000001,8,95
1,115.58,1,411
2,699.4,7,111
2,1278.04,5,202
3,121.74000000000001,1,92
3,989.22,2,50
0,3387.43,11,17
3,501.12,4,17
3,465.68,2,124
2,1608.93,9,91
1,256.04,2,460
1,252.68,1,401
1,399.3,2,393
2,2951.11,4,156
1,51.410000000000004,1,375
3,904.46,3,8
1,149.75,1,435
2,1035.18,5,11
2,1429.63,9,61
3,557.62,1,60
3,944.1,2,268
3,573.45,3,262
1,722.5600000000001,1,442
2,2107.66,5,52
0,3192.65,10,17
1,1180.0,1,365
3,217.38,1,36
3,276.56,2,30
3,138.98,1,112
1,360.85,1,408
1,241.66,2,383
2,1939.26,5,63
2,523.3,7,15
2,1425.35,4,40
3,137.75,1,77
2,2322.63,7,121
1,350.85,1,438
2,1313.19,4,17
3,373.36,4,59
1,201.19,1,330
2,3364.59,6,22
1,734.91,1,599
1,781.59,3,602
1,927.61,5,442
1,307.95,1,723
0,3320.84,11,155
2,994.51,5,38
2,1192.94,6,391
2,1689.53,3,189
1,1101.97,4,359
2,792.51,6,136
0,4368.62,7,7
3,360.0,1,0
3,1218.7,3,267
3,1285.51,3,168
3,600.19,4,103
3,159.2,2,154
1,61.72,1,399
1,1217.99,4,350
0,3754.71,16,3
1,53.65,1,429
3,273.34,3,119
2,1670.3700000000001,4,22
2,1706.3700000000001,6,6
2,1541.2,5,27
3,598.57,2,3
1,124.75,1,450
0,3445.32,12,21
3,775.94,3,1
1,310.26,1,688
3,640.76,3,0
2,2228.1,6,77
3,567.36,2,71
3,199.48000000000002,1,16
3,787.85,5,2
3,675.3,1,81
1,281.76,1,431
1,1308.48,1,315
0,5112.97,8,31
2,2806.18,6,92
1,262.4,1,401
3,350.9,1,13
1,1015.74,3,410
3,795.12,1,76
1,1575.26,1,545
2,2345.62,4,157
3,860.12,1,200
3,775.85,1,260
3,303.43,1,177
2,2543.72,3,67
1,339.5,1,287
1,299.4,6,462
3,291.36,1,69
3,233.76,1,63
3,197.32,1,10
3,879.12,2,15
3,323.94,1,65
3,347.97999999999996,1,59
3,743.53,1,70
3,674.7,1,121
3,768.24,1,79
2,3817.36,5,256
3,389.03,1,268
3,943.3100000000001,2,63
1,1503.65,4,431
1,1450.5,2,471
2,1623.86,3,17
3,134.95999999999998,1,70
2,2225.37,2,33
3,56.160000000000004,1,49
1,460.20000000000005,1,431
3,1021.5,4,256
1,516.5600000000001,1,365
1,1509.74,1,371
1,2297.66,2,504
3,328.64,1,89
1,372.8,2,414
3,1792.23,2,88
3,869.76,3,98
1,1452.88,2,396
3,572.56,3,25
1,62.4,1,432
2,1387.58,5,280
1,305.28000000000003,1,543
1,534.57,1,329
1,835.46,2,413
1,184.34,1,416
3,1185.65,3,130
3,797.96,3,10
3,544.08,1,74
3,59.8,1,203
1,91.14,1,676
1,1131.45,4,583
3,1180.23,3,184
3,1360.99,2,28
0,3191.87,10,72
3,670.34,2,191
1,275.4,3,463
1,310.83,1,582
2,1535.13,4,126
3,229.5,3,17
3,252.49,2,0
2,1198.81,5,203
1,568.92,2,426
1,2244.7,3,578
2,2201.96,9,23
3,213.55,1,106
1,487.34999999999997,1,619
1,429.44,6,639
2,2494.14,6,133
1,800.67,4,472
3,940.8000000000001,3,43
2,1669.49,6,4
3,221.06,1,63
3,159.85,2,149
0,4092.62,8,39
2,2626.3,1,63
1,217.03,1,428
1,572.77,1,449
2,3403.63,5,107
2,1006.53,6,18
3,499.98,3,9
3,1006.8,4,10
3,679.45,2,18
0,3316.24,8,66
1,436.55,2,570
1,658.3199999999999,4,500
2,1666.8600000000001,5,73
0,4475.2300000000005,9,4
3,196.89,1,1
0,3408.06,7,13
1,46.5,1,546
3,986.61,3,254
2,1295.25,7,422
3,720.9,2,91
1,419.87,3,666
1,1276.3700000000001,6,448
1,631.6800000000001,2,373
1,241.89999999999998,1,625
0,3881.89,11,429
3,1129.14,3,22
3,291.88,1,23
0,4120.04,13,26
3,729.8,3,258
3,781.6899999999999,3,165
1,219.87,1,640
2,2905.93,6,24
2,1766.72,6,17
1,148.22,2,688
1,1160.4099999999999,2,624
3,183.44,2,28
0,4160.0,6,38
2,1153.85,5,252
2,3097.64,6,57
1,931.12,2,445
2,1013.35,5,183
3,1083.71,2,10
1,82.4,1,652
3,165.0,2,98
2,2531.58,4,0
1,592.24,2,463
2,2657.7599999999998,8,60
3,663.79,3,235
2,1431.78,4,190
2,2061.4700000000003,5,178
0,2834.17,11,37
2,2215.78,5,468
3,851.37,4,200
1,627.82,2,416
0,3830.84,11,45
3,336.09,2,231
3,140.34,1,65
3,790.72,3,240
0,3015.2200000000003,11,232
3,1122.41,3,77
3,846.87,5,57
3,449.52,4,104
1,154.25,1,653
3,1269.84,3,135
3,498.63,2,274
1,316.26000000000005,1,311
3,653.33,2,10
2,1320.33,6,282
1,327.38,1,729
2,1159.11,5,17
2,1466.3,4,22
2,2885.11,3,287
3,780.5,5,16
2,1824.19,5,70
3,295.93,1,63
2,3633.63,4,72
2,1639.2,5,315
2,2479.16,4,2
3,287.05,2,243
2,1099.72,7,8
0,4558.29,11,0
1,282.76,1,676
3,713.39,4,260
3,824.59,3,126
3,815.9000000000001,4,73
2,1265.82,6,72
2,1685.26,4,20
2,2128.42,3,59
3,659.4399999999999,1,85
3,343.21,2,77
3,1092.39,3,0
3,125.80000000000001,1,29
0,5101.52,6,32
3,680.1800000000001,5,40
3,628.78,2,14
1,1182.0,2,737
0,4683.74,12,33
3,307.76,2,78
1,402.97999999999996,1,633
2,1738.52,6,204
3,210.31,1,33
3,270.79,3,182
1,89.5,1,402
0,3448.29,7,0
1,717.85,2,425
0,3112.73,12,42
2,1569.3600000000001,7,85
1,632.39,3,466
1,785.25,2,426
1,1439.6100000000001,2,633
2,829.0,6,39
1,374.64,2,390
2,1092.14,5,11
1,172.98,1,407
3,908.99,3,95
2,1005.8,8,25
1,349.51,1,382
1,244.2,2,318
1,517.8,1,674
2,1638.28,7,379
1,200.82,2,428
0,3032.26,13,27
3,605.06,4,5
1,990.0,2,512
3,174.37,1,6
2,1820.72,11,215
0,4838.18,8,81
3,777.53,2,83
3,414.8,3,18
2,1704.27,5,40
1,1083.69,4,427
3,192.85,1,172
3,892.28,4,16
3,239.49,1,242
3,1384.25,1,205
2,915.02,6,49
1,421.25,1,410
3,732.0699999999999,5,22
0,3484.28,11,24
1,147.66,1,408
2,1539.04,5,14
1,107.75,1,405
1,280.53000000000003,2,308
1,241.68,2,389
3,1445.031,2,155
1,392.45,3,306
1,684.54,3,530
1,131.53,1,540
2,1673.5,4,63
0,2478.95,9,15
2,1120.74,6,14
2,2093.94,7,64
3,247.95999999999998,4,35
3,533.32,2,52
1,818.22,3,516
3,697.04,2,5
1,396.71,2,399
3,789.59,5,46
1,518.42,2,311
3,1185.14,4,44
3,1025.17,4,64
3,164.34,1,25
1,717.62,1,658
1,522.67,2,386
3,280.53999999999996,3,28
3,1078.31,2,39
1,236.2,1,540
1,167.35,1,592
0,2174.63,14,11
0,3319.53,10,88
1,818.29,1,632
1,1039.8500000000001,5,452
2,2359.19,6,23
1,288.1,2,567
2,1278.75,8,39
3,177.34,1,173
1,230.19,2,544
1,112.34,1,527
3,213.85,1,116
1,658.95,1,695
0,2566.49,10,30
1,462.08,1,387
1,301.26,1,596
3,707.04,2,252
2,2245.9,7,58
1,310.14,1,675
2,2031.78,7,4
0,3070.42,11,99
0,3648.15,8,24
0,5027.78,15,32
2,2999.16,4,67
2,949.12,5,36
3,809.25,3,51
3,122.64,1,15
3,1346.27,2,73
1,405.0,1,610
1,942.37,4,640
3,514.72,4,215
0,2156.77,10,30
2,2624.26,4,15
3,252.1,1,119
1,326.25,2,399
0,3071.68,8,9
2,1759.07,8,399
2,1678.88,6,256
0,3288.0,10,16
3,211.85,2,39
2,2570.85,5,45
1,152.2,1,487
2,2280.51,6,113
3,1078.85,4,164
3,382.14,2,10
0,4894.88,12,205
1,314.59,1,399
1,325.24,1,602
0,2250.11,11,85
2,2047.51,5,178
1,1711.6599999999999,3,385
3,127.05,5,59
3,305.02,1,148
3,413.55,3,50
3,349.7,1,74
1,194.95,1,394
1,419.92,3,300
3,396.92,2,18
1,240.68,1,432
3,486.82000000000005,2,150
1,243.9,2,538
1,556.1899999999999,2,404
3,232.6,1,151
1,281.26,3,493
3,827.83,4,17
3,59.5,1,186
1,258.6,1,457
3,596.98,4,285
0,3119.44,7,2
3,409.04,3,182
1,375.5,1,634
3,1259.5,2,62
3,172.25,1,58
1,210.78,1,395
2,3114.4,5,24
2,2011.82,9,373
0,2770.73,16,30
1,2020.4,3,421
3,151.29999999999998,1,38
1,465.53000000000003,2,596
3,764.15,2,154
0,2613.46,13,25
1,161.0,1,446
1,135.18,1,445
1,425.56,2,317
2,2308.06,9,4
2,2035.33,7,7
1,631.17,2,302
2,3365.86,5,266
3,294.88,1,270
3,509.52,3,31
2,1792.26,9,218
3,766.42,2,246
1,743.26,3,407
1,161.35,1,464
3,138.28,1,268
2,1763.3,8,31
3,306.55,2,245
0,2814.27,11,14
3,799.9,4,116
3,741.54,2,35
2,1209.2,6,216
1,213.01,1,636
2,1980.56,8,49
3,1079.6599999999999,2,38
2,1080.05,8,28
0,2855.17,16,36
1,724.73,3,435
3,752.6,2,135
3,610.59,2,218
3,491.86,1,27
1,487.03000000000003,2,410
2,2766.21,7,4
3,339.59999999999997,1,199
1,440.93,1,395
3,292.2,2,17
2,1597.77,5,240
3,668.4300000000001,3,71
0,3131.02,12,16
2,1341.6,7,2
3,1156.36,2,94
3,777.36,2,161
1,176.69,1,413
1,249.39999999999998,2,373
2,2268.35,9,95
0,3602.1800000000003,11,53
1,296.25,1,287
2,1590.73,7,123
2,2094.57,4,287
3,447.05,3,151
2,2161.35,9,3
1,195.55,1,674
3,659.4100000000001,2,32
2,1363.6399999999999,5,53
2,1952.17,6,49
2,2472.48,5,218
2,2942.31,6,70
1,352.821,1,652
1,190.35,1,494
1,875.97,2,726
1,785.37,4,421
0,3114.22,8,33
1,301.54,2,396
3,345.0,1,81
1,1049.66,1,590
3,1124.49,4,102
1,161.13,1,515
3,735.82,3,6
3,778.83,3,250
0,1793.72,13,12
1,1542.09,4,487
0,2910.23,14,9
1,542.49,4,428
2,3358.94,6,366
2,1222.5,6,75
1,3.75,1,504
1,239.45999999999998,1,387
3,348.8,1,3
3,1516.0,2,127
3,383.95,3,65
1,96.0,1,646
1,126.03,1,546
1,836.3,4,387
1,289.7,1,498
1,1179.45,3,436
0,2803.57,9,116
2,1679.56,3,309
3,324.8,1,66
3,1338.91,3,254
0,3208.52,9,30
3,924.6,2,51
3,256.38,1,63
1,534.8,3,366
2,1747.66,5,5
1,679.7,3,304
3,827.51,2,28
3,519.75,2,183
3,485.0,3,41
2,2387.4700000000003,8,39
2,2257.32,3,91
3,499.67,2,23
3,328.98,2,28
1,61.28,1,429
2,2642.35,6,301
1,660.65,3,417
2,1410.73,6,144
3,632.0,2,5
0,3403.4500000000003,7,18
0,3314.76,12,32
1,255.59,2,621
3,189.5,1,175
3,412.05,3,57
3,209.49,1,21
1,102.0,1,420
1,156.85000000000002,1,581
3,613.6899999999999,2,18
3,701.36,2,158
1,324.19,2,576
2,1095.27,7,24
1,620.37,2,398
3,271.24,2,211
2,1966.09,10,5
1,139.95000000000002,1,485
1,651.4,1,415
3,85.0,1,252
1,319.75,1,380
3,361.62,1,10
3,312.98,1,64
2,1307.79,4,24
1,310.72,1,719
0,3335.0,8,91
2,3469.3,5,51
3,1595.48,1,128
0,4606.46,8,95
1,187.35000000000002,1,610
3,1090.14,1,56
